"Campaign","Category","Sub-Category","Backers","Pledged","Goal","Outcome","Country","Campaign Length","Campaign Bucket"
"Fat Boy's Nerd Emporium","Games","Gaming Hardware",0,"0","5000","failed","US",30,"Medium"
"Moustacio Wristbands","Design","Product Design",0,"0","200","failed","US",14,"Short"
"Little Fears Nightmare Edition - Blessed are the Children","Games","Tabletop Games",164,"9071","1500","successful","US",30,"Medium"
"Lest We Forget","Comics","Comic Books",3,"61","8604","failed","CA",30,"Medium"
"1000 Haiku, 1000 Strangers","Publishing","Poetry",228,"5276","1500","successful","US",35,"Long"
"Field Reflections: The Final Painting","Art","Painting",18,"4268","3000","successful","US",33,"Long"
"A Doctor in Spite of Himself by Monsieur Moliere","Theater","Theater",39,"2100","2000","successful","US",NULL,NULL
"The Kitchen: a space for participatory cooking & dining","Food","Food",309,"45026","40000","successful","US",40,"Long"
"The Harriet Experiment","Film & Video","Documentary",91,"7071","70000","failed","US",60,"Long"
"The Modern Day Briefcase","Design","Product Design",1287,"242014","40000","successful","US",46,"Long"
"TOGA: The Holder | Upgrade | Keychain for EOS® Lip Balms","Design","Product Design",19,"912","5000","canceled","US",30,"Medium"
"HORSE KILLER","Film & Video","Film & Video",1,"23","800","failed","US",30,"Medium"
"A Small Business Worth Saving. (Canceled)","Crafts","Crafts",0,"0","5000","canceled","US",30,"Medium"
"Grain35: Beautiful 35mm Film Grain Scans For Your DSLR Video","Technology","Technology",255,"26206","15000","successful","US",21,"Medium"
"FLIE Rings - Colorful Anodized Aluminum Rings for Life","Fashion","Accessories",285,"10604","2000","successful","US",30,"Medium"
"Friday Night Monkey Fights the Mobile App!","Games","Video Games",2,"30","30000","failed","US",30,"Medium"
"GIULIA","Film & Video","Shorts",35,"6000","6000","successful","US",40,"Long"
"Personalised full length novels for children","Publishing","Children's Books",1,"51","8045","failed","GB",30,"Medium"
"Publish my first horror novel, make a trailer & short films","Film & Video","Horror",3,"310","20000","failed","US",30,"Medium"
"1,000 Stars Festival, Documentary ","Film & Video","Documentary",32,"5117","5000","successful","US",26,"Medium"
"Fittersift: Introducing Responsive Textile Technology","Fashion","Apparel",8,"978","25000","failed","US",45,"Long"
"Jake Jude T-Shirt (Official)","Fashion","Apparel",0,"0","375","failed","US",14,"Short"
"Chris Henry and The Hardcore Grass","Music","Music",46,"2470","10000","failed","US",30,"Medium"
"A wee Coffee","Food","Drinks",1,"19","42521","failed","GB",31,"Long"
"The Horde and the Harem - Full Length Album!","Music","Pop",55,"5475","5000","successful","US",60,"Long"
"Letters To Me","Publishing","Nonfiction",30,"4373","50000","canceled","US",50,"Long"
"Knight's Destiny - Dungeon RPG/MMORPG","Games","Video Games",9,"306","4000","failed","US",45,"Long"
"Creatures of Habitat For Sale","Theater","Theater",56,"2246","2222","successful","US",44,"Long"
"Online therapist directory - Click For Therapy (Canceled)","Technology","Web",0,"0","52405","canceled","GB",30,"Medium"
"Lick My Assise!","Design","Product Design",2,"300","50000","failed","US",30,"Medium"
"New EP from Jon Swift","Music","Music",61,"2880","2500","successful","US",14,"Short"
"Punch'em Scrunch'em Robots","Games","Tabletop Games",38,"1752","7000","failed","US",30,"Medium"
"WE MEAN YOU NO HARM","Film & Video","Narrative Film",60,"8046","8000","successful","US",24,"Medium"
"Behind the Lens: Charlotte","Photography","Photobooks",0,"0","10000","failed","US",30,"Medium"
"Blit - Mobile App to Screenshot Websites with Login","Technology","Apps",2,"57","5000","failed","US",42,"Long"
"Monster Stacker","Games","Video Games",108,"4160","3000","successful","US",30,"Medium"
"Must Be Nice at the Fillet of Solo Festival in Chicago","Theater","Theater",17,"870","740","successful","US",30,"Medium"
"The Return Voyage of Christopher Mackenzie","Music","Music",57,"1592","1500","successful","US",14,"Short"
"NOZ","Design","Product Design",26,"668","25000","failed","US",60,"Long"
"Club Universe","Music","Electronic Music",0,"0","10000","failed","US",30,"Medium"
"Taft Sturgeon","Comics","Comic Books",103,"4063","4000","successful","US",24,"Medium"
"Samuel B. Lupowitz & The Ego Band - first album release","Music","Rock",40,"2345","2000","successful","US",43,"Long"
"Bringing Jamaican Patties To Your Neck Of The Wood","Food","Restaurants",3,"206","125000","failed","US",60,"Long"
"THE AVENUE","Music","Blues",39,"2500","2500","successful","US",30,"Medium"
"Personalized Picture Slide Lamps","Design","Product Design",1,"1","75","failed","US",30,"Medium"
"Drone on the Farm: An Aerial Exposé","Journalism","Journalism",1312,"75065","30000","successful","US",30,"Medium"
"Employee evaluation and performance management web app","Technology","Software",1,"85","2564","failed","GB",30,"Medium"
"Berghain: A Game for 26 Players About Getting In","Games","Tabletop Games",240,"605","883","suspended","SE",30,"Medium"
"Deferral: A Video Installation by EL Putnam","Art","Performance Art",1,"5","1000","failed","US",46,"Long"
"Help Lancaster Make Their Next Album!","Music","Rock",29,"2587","15750","failed","US",30,"Medium"
"DAME - Introvert Dame - Bad Biti Music Video First Single","Music","Hip-Hop",0,"0","600","failed","US",30,"Medium"
"Steve Shane's Every Pretty Smile Music Video","Music","Pop",52,"2251","2000","successful","US",30,"Medium"
"Carousel Love (Canceled)","Art","Art",1,"69","4941","canceled","GB",30,"Medium"
"Maggie, Therapy Dog in Training's 1st Car Sticker Pre-Order!","Art","Public Art",4,"61","500","failed","US",9,"Short"
"Metro760 LGBT Newspaper for the Palm Springs CA area","Publishing","Publishing",0,"0","7500","undefined","NA",22,"Medium"
"Ahead of the Chains","Publishing","Nonfiction",53,"9170","9000","successful","US",40,"Long"
"Tiles Publications","Publishing","Poetry",20,"711","4000","failed","US",32,"Long"
"Nudz: Banishing Beige as the Default Nude for Lingerie","Fashion","Fashion",108,"31376","30000","successful","US",37,"Long"
"THE WINGCASE - The Smartest Briefcase in the World.","Design","Product Design",166,"60069","29951","successful","DE",30,"Medium"
"The Yowler: a community built DIY noise synth","Technology","Sound",105,"4474","1908","successful","AU",32,"Long"
"Natalie Wells Band brand new recording project!","Music","Rock",32,"2245","6750","failed","US",30,"Medium"
"Central Florida Music Commissioning Project","Music","Music",16,"1979","18000","canceled","US",30,"Medium"
"LFC & LOCO Bubble Soccer (Canceled)","Games","Games",24,"5816","50000","canceled","US",31,"Long"
"My Favorite Color is Brown","Publishing","Children's Books",1,"20","5000","failed","US",60,"Long"
"UBER Taxi Cab Confessions","Publishing","Nonfiction",1,"9","1500","canceled","US",35,"Long"
"Enamel Pin: Stay the Course","Fashion","Accessories",27,"344","589","failed","CA",20,"Medium"
"Mal-Mart Mega Store - Burning Man 2010","Art","Performance Art",16,"1620","1500","successful","US",26,"Medium"
"Try and Review all the Microwave Recipes I Ever Find","Food","Cookbooks",0,"0","100","failed","US",30,"Medium"
"Gluten Free Cookies with an Old Fashioned Taste!","Food","Food",27,"1486","10000","failed","US",47,"Long"
"The Demons Within","Publishing","Fiction",48,"2225","2200","successful","US",35,"Long"
"Pro Pinball®: Revived & Remastered","Games","Video Games",1296,"174010","400000","failed","US",30,"Medium"
"BlueKangaroo - Do more with your Bluetooth Location Trackers","Technology","Technology",24,"1028","8000","failed","US",35,"Long"
"Breaker Blocks","Games","Tabletop Games",55,"1643","8000","failed","US",30,"Medium"
"My Hip Hop Debut: The Yamazawa EP","Music","Hip-Hop",81,"4229","3000","successful","US",23,"Medium"
"Translation for my father's novel","Publishing","Translations",30,"12080","12000","successful","US",90,"Long"
"An Adventure with Friends, a family friendly comedy","Film & Video","Film & Video",3,"225","12000","failed","US",30,"Medium"
"SPOUGEFEST","Music","World Music",1,"50","25000","failed","US",59,"Long"
"Become a part of Papi Churro - THE NEXT CHAPTER!","Food","Food Trucks",9,"2409","6554","live","NL",30,"Medium"
"Dogbed","Design","Product Design",2,"30","2000","failed","US",30,"Medium"
"Gothic Line Museum - Il Museo della Linea Gotica","Art","Art",4,"342","131080","live","IT",60,"Long"
"Paul Dietrich Quintet debut album - We Always Get There","Music","Jazz",77,"3260","3000","successful","US",28,"Medium"
"A Story about an alcoholic wizard who fucks bitches.","Publishing","Fiction",2,"10","500","failed","US",30,"Medium"
"EAST Urban Salsa","Food","Small Batch",0,"0","8000","failed","US",30,"Medium"
"VR Homebox","Technology","Apps",5,"170","200000","failed","US",50,"Long"
"Colour Chess + Lure - Two games, one colourful board!","Games","Tabletop Games",81,"6129","5635","successful","GB",21,"Medium"
"The Truckiest Truck","Technology","Web",6,"80","210","failed","US",30,"Medium"
"THE CANDYMAN: He mixes it with love","Food","Food",2,"150","20000","failed","US",40,"Long"
"Michael fitness You-tuber Channel","Film & Video","Documentary",2,"4","4825","failed","GB",30,"Medium"
"Midwest Underground","Film & Video","Webseries",41,"10122","10000","successful","US",34,"Long"
"the Kurdi Margolis Wright Trio @ CCLC Trescott ME","Theater","Experimental",1,"20","600","failed","US",10,"Short"
"Clive Barker Presents: The Sickness - A Trailer with Bite","Film & Video","Shorts",69,"7800","7500","successful","US",30,"Medium"
"Lost Orchards Finish Long Forgotten EP","Music","Indie Rock",34,"735","700","successful","US",60,"Long"
"Sindicate  3D - Rol Game","Games","Mobile Games",0,"0","24105","failed","ES",30,"Medium"
"Between the Shadow and the Soul","Dance","Dance",21,"1000","1000","successful","US",48,"Long"
"The Step Afrika! Experience! ","Dance","Dance",18,"2685","2500","successful","US",45,"Long"
"Tell Me Something","Publishing","Nonfiction",445,"26936","20000","successful","US",30,"Medium"
"My First Fiction Novel","Publishing","Fiction",0,"0","12000","failed","US",60,"Long"
"One Country United (Canceled)","Fashion","Apparel",0,"0","8000","canceled","US",30,"Medium"
"Groove in the Grove","Music","Music",0,"0","300","failed","US",21,"Medium"
"The Vicarious EyeArtist's Residency with a conscience","Art","Public Art",0,"0","4303","canceled","US",30,"Medium"
"? Infinity Edition Galaxy Cards ?","Games","Tabletop Games",155,"4587","88","successful","US",8,"Short"
"Catch the Leprechaun","Games","Mobile Games",0,"0","450","failed","US",30,"Medium"
"COUPLE FRIENDS, a comedy short","Film & Video","Shorts",68,"5001","5000","successful","US",30,"Medium"
"Insecticides made using Olive Oil & other Edible Ingredients","Food","Farms",15,"2046","8700","failed","US",30,"Medium"
"American retro diner","Food","Restaurants",0,"0","235743","failed","ES",30,"Medium"
"BICYCLE DAY Lives!!!!","Film & Video","Film & Video",81,"5316","5000","successful","US",30,"Medium"
"THE PRESIDENT CAPTURED: THE DOCUMENTARY","Film & Video","Documentary",14,"2751","19995","failed","US",39,"Long"
"Aki - The Best Minimalist Bifold Slim Wallet","Design","Product Design",1415,"61007","2343","successful","AU",45,"Long"
"March Forth","Publishing","Fiction",2,"26","1000","failed","US",15,"Medium"
"Rediscovering authentic & stunning home cooking.","Food","Food",1,"1","4500","failed","US",30,"Medium"
"Invitations and Party Decorations","Design","Graphic Design",0,"0","400","failed","US",45,"Long"
"Faire De Largent Mula","Fashion","Apparel",0,"0","20000","failed","US",30,"Medium"
"Super Awesome scavanger hunt (Suspended)","Games","Games",0,"0","250","suspended","US",45,"Long"
"Earthly Pleasures: A Fashion Film","Film & Video","Shorts",21,"3841","3773","successful","GB",19,"Medium"
"Patrick and Cris Make A Movie (and you get a copy)","Film & Video","Narrative Film",42,"5558","50000","failed","US",51,"Long"
"Wonder Sneakers: The Truly Hands-free Sneakers","Design","Product Design",20,"71","8815","canceled","HK",40,"Long"
"The Rainbow Journal. Poetry of the Armageddon.","Publishing","Poetry",0,"0","1000","failed","US",60,"Long"
"Playing Cards The Venture Deck RE-LAUNCH By GilaFiction","Design","Graphic Design",107,"2512","950","successful","US",32,"Long"
"BUNNY RACKET - A rock 'n' roll web series for kids!","Film & Video","Webseries",297,"24975","24636","successful","AU",30,"Medium"
"I Want Some Nasty San Antonio Spurs t-shirt","Fashion","Fashion",0,"0","850","failed","US",15,"Medium"
"For What it's Worth","Film & Video","Fantasy",36,"1787","1608","successful","GB",25,"Medium"
"Postscript","Publishing","Fiction",2,"25","100","failed","US",40,"Long"
"Support Brooklyn Youth Media Projects!","Film & Video","Shorts",57,"4736","2000","successful","US",24,"Medium"
"She Inspires 365","Publishing","Art Books",185,"10538","10000","successful","US",35,"Long"
"Jesus Christ Superstar-Indiana","Theater","Theater",1,"500","3200","failed","US",60,"Long"
"Protect or Infect","Games","Tabletop Games",50,"3221","15000","failed","US",30,"Medium"
"Gone Missing' Kickstarter for Studio 301 Productions","Theater","Musical",8,"755","750","successful","US",21,"Medium"
"M.A.D. a Web Series","Film & Video","Drama",2,"6","2000","failed","US",40,"Long"
"Editing Blind Faith","Publishing","Fiction",2,"100","2500","failed","US",45,"Long"
"The Coal War  a documentary about hope, change, and one unstoppable grandmother","Film & Video","Documentary",96,"5465","13125","failed","US",47,"Long"
"TRI Magazine","Publishing","Publishing",16,"608","12139","failed","IE",30,"Medium"
"Mobile/Tablet In Game Advertising & Interactive Games Studio","Games","Mobile Games",0,"0","89000","failed","US",30,"Medium"
"The Adventures of HarleyQuinn","Publishing","Children's Books",19,"1161","1148","successful","GB",30,"Medium"
"Through The Rough (Canceled)","Technology","Web",0,"0","20000","canceled","US",30,"Medium"
"COOPER'S PROMISE, a novel","Publishing","Fiction",60,"2556","1000","successful","US",60,"Long"
"2031 Film","Film & Video","Science Fiction",18,"781","692","successful","GB",18,"Medium"
"Sean Sullivan Photography - The Thrasher years - book","Photography","Photography",18,"443","15000","failed","US",30,"Medium"
"My Alibi Clothing~ Bloomers & Beyond","Fashion","Fashion",213,"25815","25000","successful","US",31,"Long"
"Escultura Venezolana En Nieve/ Venezuelan Snow Sculpture","Art","Sculpture",3,"32","2587","failed","CA",30,"Medium"
"Kegged homebrew for all!","Crafts","DIY",17,"586","440","successful","US",27,"Medium"
"Robotech Take Over","Publishing","Fiction",27,"3577","100000000","failed","US",30,"Medium"
"Finding our Spirit (Canceled)","Photography","Photography",0,"0","15000","canceled","US",30,"Medium"
"Bethany Barnard","Music","Music",860,"25201","20000","successful","US",30,"Medium"
"What Might Have Been","Publishing","Fiction",1,"5","2100","failed","US",21,"Medium"
"Purple Heart Acres Challenge Coin Fundraiser","Design","Product Design",24,"2295","1500","successful","US",15,"Medium"
"Simple Work Attendance Sheet (S.work.a.S.)","Technology","Software",1,"19","1525","failed","IT",25,"Medium"
"Finally For Ever - Eric Fritts Debut Album","Music","Music",170,"11722","10000","successful","US",29,"Medium"
"the GLIDEARM","Technology","Camera Equipment",85,"35987","25000","successful","US",43,"Long"
"Risenfall","Comics","Graphic Novels",224,"6804","4662","successful","IT",36,"Long"
"Relics and Cycledelics","Art","Art",9,"489","1200","failed","US",25,"Medium"
"The Background of Anne","Publishing","Nonfiction",0,"0","10000","failed","US",7,"Short"
"Democracy and Freedom for China","Art","Mixed Media",3,"6","5946","failed","CA",60,"Long"
"HUSTLExFLO","Music","Hip-Hop",1,"10","3200","failed","US",45,"Long"
"Travel Thru History - Educational Television Series","Film & Video","Film & Video",32,"5226","5000","successful","US",21,"Medium"
"Wooden Jigsaw Puzzles by Hartwig Braun","Games","Puzzles",23,"2576","19725","failed","GB",30,"Medium"
"Experiment Z: Multiplayer Zombie Survival on Mobile","Games","Mobile Games",2,"17","27809","canceled","CA",30,"Medium"
"Las Escrituras Satánicas by Peter H. Gilmore","Publishing","Nonfiction",83,"10695","9000","successful","US",41,"Long"
"Help me cook a £10,000 curry","Food","Small Batch",1,"2","18385","failed","GB",5,"Short"
"Rosetta: A Lua hardware platform","Technology","DIY Electronics",9,"801","100000","failed","US",30,"Medium"
"Mourning Star's 1st 4 albums","Music","Music",0,"0","14000","failed","US",30,"Medium"
"Queen City Hornets T-Shirt","Fashion","Fashion",43,"1075","2500","failed","US",24,"Medium"
"The Evon Enamel Pin Preorder!","Fashion","Accessories",15,"236","770","failed","US",30,"Medium"
"The Conversation","Film & Video","Shorts",20,"1310","5000","failed","US",56,"Long"
"Ryan Snook's Thesis Film META","Film & Video","Drama",8,"211","146","successful","CA",25,"Medium"
"The End War","Film & Video","Documentary",4,"66","500","failed","US",11,"Short"
"#ClearBackstop (Canceled)","Design","Product Design",0,"0","27494","canceled","US",27,"Medium"
"Making Bubbles","Film & Video","Narrative Film",57,"1772","1590","successful","GB",45,"Long"
"Air Guitar Move for iPhone","Games","Video Games",193,"31776","25000","successful","US",30,"Medium"
"Masters of Blöödirön (Canceled)","Games","Tabletop Games",18,"270","4600","canceled","US",21,"Medium"
"CAMP - The Center for Advanced Media Production","Film & Video","Film & Video",3,"81","23000","failed","US",30,"Medium"
"Twelve Months of Healing, the Veil of Womanhood:","Art","Art",6,"345","20000","failed","US",30,"Medium"
"CristaLight: Offer a piece of jewelry to your home.","Design","Product Design",4,"690","25179","canceled","BE",30,"Medium"
"F(r)aming Reflections","Art","Mixed Media",20,"740","650","successful","US",31,"Long"
"The North Pole: A Comedic Web Series for The People","Film & Video","Webseries",282,"25648","25000","successful","US",30,"Medium"
"The Free Art Project goes to Berlin","Art","Art",30,"1681","1500","successful","US",28,"Medium"
"Football As Football - Merchandise","Design","Graphic Design",159,"8141","45000","failed","US",30,"Medium"
"Buddhist Geeks Conference 2012","Technology","Technology",150,"25751","20000","successful","US",45,"Long"
"Beyond Clueless","Film & Video","Documentary",505,"24074","19050","successful","GB",30,"Medium"
"My First Emotions - Children's Educational Toolkit","Publishing","Publishing",32,"8099","8098","successful","GB",30,"Medium"
"FOREVERSE Virtual Reality Event Series","Games","Video Games",9,"451","600000","canceled","US",30,"Medium"
"18 Days in Egypt","Technology","Technology",325,"20142","18000","successful","US",30,"Medium"
"The City","Comics","Comics",5,"136","3000","failed","US",60,"Long"
"Space Chronicles - MMORPG Browser Game","Games","Video Games",6,"34","5989","failed","IT",60,"Long"
"SCORE FOR AN UNREHEARSED ENSEMBLE","Dance","Dance",89,"3582","3000","successful","US",35,"Long"
"Wizard Alchemy Poetry Gazette from Word Wizards Press","Publishing","Poetry",0,"0","88489","failed","US",30,"Medium"
"Help A LouSir Make His First Album","Music","Hip-Hop",2,"110","3000","failed","US",30,"Medium"
"Let's Get A Keg!","Food","Events",2,"30","100","suspended","US",10,"Short"
"Thoughts & Recreation - First issue of our new magazine","Journalism","Journalism",14,"588","1960","failed","GB",30,"Medium"
"STRANDED!","Film & Video","Shorts",50,"3175","6250","failed","US",33,"Long"
"Change Address","Technology","Web",0,"0","200000","failed","US",60,"Long"
"GO!CATCHER!!!  Paper Toys With Digital Play","Design","Interactive Design",17,"139","461","failed","HK",31,"Long"
"Lego stop motion and gaming commentary","Film & Video","Film & Video",0,"0","75","failed","AU",30,"Medium"
"Onward To Yesterday! Jim Tyrrell finally hits the road.","Music","Country & Folk",18,"2342","2000","successful","US",60,"Long"
"Wabash Brewing - Nano Custom Brewing","Food","Drinks",99,"17176","16000","successful","US",30,"Medium"
"productpure EA-Free Baby Bottle Goes Far Beyond BPA-Free","Design","Product Design",4,"260","15000","failed","US",30,"Medium"
"Student Film Festival","Film & Video","Film & Video",31,"2510","2500","successful","US",30,"Medium"
"Learn Basic Programming","Technology","Technology",6,"201","1500","failed","US",45,"Long"
"The Wild Mural","Art","Public Art",42,"7184","7000","successful","US",45,"Long"
"Pilot From Zero Book","Publishing","Nonfiction",0,"0","5000","failed","US",30,"Medium"
"L.A. Vida Skate Supply Launch","Design","Product Design",0,"0","1000","failed","US",30,"Medium"
"Passing Shot: Dice Tennis Game","Games","Tabletop Games",30,"813","500","successful","US",30,"Medium"
"Boxxle- Premium Cask Wine Dispenser","Design","Product Design",59,"8568","75000","failed","US",90,"Long"
"Flock'dance Initiatives","Art","Performance Art",165,"9527","9000","successful","US",30,"Medium"
"Tales From The Jumpseat - Pilot Episode","Film & Video","Webseries",45,"1603","1300","successful","US",30,"Medium"
"Derby Panther Marching Band Weathers the Storm","Music","Music",56,"4080","3500","successful","US",20,"Medium"
"Established UK Streetwear brand to global market leader.","Fashion","Fashion",12,"495","22136","failed","GB",45,"Long"
"Erstellung eines Bildbandes für Gnadenhöfe","Photography","Photobooks",3,"93","22959","failed","DE",60,"Long"
"RoVR - Your New Virtual Best Friend!","Games","Video Games",148,"6504","30000","canceled","US",31,"Long"
"Scales Secrets Shop","Crafts","Crafts",7,"120","500","failed","US",60,"Long"
"Long Beach Kombucha (Canceled)","Food","Food",0,"0","4400","canceled","US",30,"Medium"
